,Evalaution Turn,iterations,success,fitness,position
84,85,304.0,1,10.0,[-2.80327381e-09  8.67566500e-10  5.97831513e+04]
85,86,269.0,1,10.0,[ 2.28961897e-09  1.00506046e-09 -2.98587903e+06]
86,87,307.0,1,10.0,[ 9.97941021e-10 -9.74507973e-10  2.60999135e+04]
87,88,314.0,1,10.0,[ 5.35288405e-11 -1.28426031e-09  2.88419604e+05]
88,89,272.0,1,10.0,[-8.53638862e-10 -8.05239927e-10  7.83840747e+02]
89,90,300.0,1,10.0,[-1.57808453e-09  6.62845365e-10 -4.83768026e+04]
90,91,264.0,1,10.0,[-2.40741134e-09  6.80239599e-10 -3.61556056e+07]
91,92,307.0,1,10.0,[-6.74339598e-10 -2.14793525e-10  1.18406851e+02]
92,93,316.0,1,10.0,[ 1.94171791e-09  9.66669709e-10 -1.69871239e+03]
93,94,285.0,1,10.0,[ 1.95075770e-09  9.02488798e-10 -2.30597518e+02]
94,95,279.0,1,10.0,[ 5.76364835e-10 -3.13415880e-10  2.33431957e+04]
95,96,265.0,1,10.0,[2.66650711e-09 5.06157060e-10 1.16901591e+02]
96,97,300.0,1,10.0,[-1.72114696e-10 -1.10771126e-09  6.58717642e+03]
97,98,304.0,1,10.0,[-1.53210322e-09  5.00035328e-10  6.08286989e+01]
98,99,326.0,1,10.0,[3.12817752e-09 8.71829645e-10 3.40259449e+03]
99,100,301.0,1,10.0,[ 1.33974605e-09 -8.36836398e-11  8.60957856e+03]
100,101,276.0,1,10.0,[3.65650099e-09 7.09547277e-11 7.86152071e+03]
101,102,267.0,1,10.0,[-2.65604945e-09  1.67310875e-09  1.35010746e+04]
102,103,289.0,1,10.0,[-2.15809467e-10  1.51179846e-09  1.46565478e+06]
103,104,314.0,1,10.0,[-2.80856223e-09  1.43978261e-09 -7.97489807e+03]
104,105,300.0,1,10.0,[ 1.92164343e-09 -6.70198539e-10 -5.57072890e+02]
105,106,308.0,1,10.0,[-1.88123436e-09 -9.87181025e-10 -6.54631670e+05]
106,107,326.0,1,10.0,[1.38138770e-09 4.75162488e-10 4.25495416e+01]
107,108,374.0,1,10.0,[-2.61206674e-09 -7.66032258e-10 -3.90444326e+02]
108,109,296.0,1,10.0,[-3.58614803e-09  1.67414758e-09 -2.37312916e+00]
109,110,229.0,1,10.0,[-2.00566920e-09 -1.48175616e-09 -1.85433303e+02]
110,111,306.0,1,10.0,[-5.15288699e-10  1.56032914e-09 -1.02357551e+01]
111,112,327.0,1,10.0,[-7.97346854e-10 -3.74513749e-10  1.68800808e+04]
112,113,284.0,1,10.0,[ 1.58061589e-09 -1.62583883e-09  2.04002588e+03]
113,114,261.0,1,10.0,[5.53277515e-10 1.36606811e-09 2.71836517e+02]
114,115,308.0,1,10.0,[ 4.69251408e-10  9.81226285e-10 -3.52481175e+04]
115,116,322.0,1,10.0,[ 3.57714936e-09 -1.34274395e-10 -1.14604672e+02]
116,117,293.0,1,10.0,[ 5.85519552e-10 -1.39636475e-09  6.87604523e+06]
117,118,318.0,1,10.0,[1.47358996e-09 9.08987555e-10 1.86519335e+06]
118,119,245.0,1,10.0,[-2.18111565e-09 -1.09927354e-09  5.44208278e+05]
119,120,328.0,1,10.0,[-4.92795296e-10 -8.79487406e-10 -1.85779508e+04]
120,121,304.0,1,10.0,[-2.48637632e-10  8.03589488e-10  6.72814917e+05]
121,122,344.0,1,10.0,[-3.32059357e-09 -1.61960766e-09  2.88530565e+02]
122,123,302.0,1,10.0,[ 9.88828550e-11 -1.84266008e-10  4.22799374e+02]
123,124,231.0,1,10.0,[-1.23454638e-09  6.44428167e-11 -3.21420596e+03]
124,125,295.0,1,10.0,[-2.65397984e-09 -3.30479581e-10  9.41168631e+04]
125,126,199.0,1,10.0,[-1.40852470e-09 -7.76973875e-10 -1.43254467e+03]
126,127,289.0,1,10.0,[ 3.23783200e-09 -8.79386394e-10  1.24812941e+03]
127,128,260.0,1,10.0,[3.58195927e-09 7.44163535e-10 1.09595179e+08]
128,129,256.0,1,10.0,[-1.40661510e-09 -4.37806340e-11 -4.16197168e+03]
129,130,188.0,1,10.0,[-4.57633587e-10 -5.33052544e-10 -2.14538985e+04]
130,131,338.0,1,10.0,[2.91979523e-09 3.86093288e-11 2.13483882e+04]
131,132,287.0,1,10.0,[-7.56202419e-11 -2.92637297e-10 -2.44679510e+01]
132,133,289.0,1,10.0,[-2.54942562e-09 -2.07281746e-10  1.08049049e+05]
133,134,304.0,1,10.0,[ 8.18122337e-10 -9.39575143e-10 -9.19382233e+06]
134,135,357.0,1,10.0,[-3.37279355e-09  1.47633467e-09  1.78007918e+05]
135,136,274.0,1,10.0,[ 1.31967559e-09 -1.55470872e-09 -1.77712286e+02]
136,137,267.0,1,10.0,[ 1.59202996e-09 -5.69438466e-10  5.55096987e+03]
137,138,319.0,1,10.0,[2.40430470e-09 2.13220009e-10 6.55591259e+03]
138,139,328.0,1,10.0,[-3.37298543e-09 -8.34665139e-10  2.64084299e+07]
139,140,300.0,1,10.0,[-2.91411549e-09 -8.05952490e-10  1.10390293e+04]
140,141,301.0,1,10.0,[ 3.07171905e-09 -1.21796483e-09  5.63952098e+07]
141,142,268.0,1,10.0,[ 3.60412014e-09 -1.11122756e-09  1.92927576e+05]
142,143,268.0,1,10.0,[-3.55071524e-09 -1.04772108e-09 -5.76321176e+06]
143,144,302.0,1,10.0,[-2.81203713e-09  7.30211856e-10 -1.03861494e+07]
144,145,288.0,1,10.0,[ 3.30003175e-09 -3.49398754e-10  1.13635654e+03]
145,146,284.0,1,10.0,[ 1.68551647e-09  3.00624955e-10 -1.02651088e+02]
146,147,327.0,1,10.0,[ 3.57662984e-09 -6.21463076e-10 -8.57948352e+02]
147,148,300.0,1,10.0,[ 5.90066933e-10 -1.19049384e-09 -8.27439696e+02]
148,149,320.0,1,10.0,[ 9.84594675e-10 -1.53847134e-09 -4.42376237e+03]
149,150,303.0,1,10.0,[-2.94184840e-09 -1.55661850e-09 -1.09046147e+06]
150,151,339.0,1,10.0,[-3.55163908e-09 -3.53569857e-11  1.03038630e+09]
151,152,263.0,1,10.0,[-2.94138082e-09  9.36423680e-10 -7.31639706e+04]
152,153,252.0,1,10.0,[1.66362021e-09 1.40604805e-09 9.75920719e+02]
153,154,308.0,1,10.0,[ 3.18280233e-09 -5.91025757e-10 -3.56698305e+03]
154,155,253.0,1,10.0,[-3.22338858e-09  6.53479814e-10  3.93453991e+05]
155,156,282.0,1,10.0,[-9.54113498e-10 -1.30176338e-09  2.11801479e+03]
156,157,264.0,1,10.0,[ 1.15085734e-09 -9.95160352e-10  1.68974952e+08]
157,158,285.0,1,10.0,[ 3.46121249e-10 -1.27771181e-09 -4.19539204e+04]
158,159,317.0,1,10.0,[ 2.50907130e-09  4.35020204e-10 -9.58876233e+04]
159,160,255.0,1,10.0,[2.86805047e-09 1.46484281e-09 1.13584098e+02]
160,161,306.0,1,10.0,[-1.82452242e-09  1.59636070e-09  2.63396369e+01]
161,162,250.0,1,10.0,[8.98806037e-10 4.42151823e-10 8.06417012e+04]
162,163,319.0,1,10.0,[-7.28355474e-10  1.55360349e-09 -1.48063172e+04]
163,164,282.0,1,10.0,[ 3.05711315e-09 -3.60847530e-10 -5.95815484e+03]
164,165,280.0,1,10.0,[-1.39385989e-09 -1.12691987e-09 -3.21488492e+04]
165,166,251.0,1,10.0,[-3.47636558e-09  1.64721299e-09  7.63912586e+02]
166,167,315.0,1,10.0,[1.84384112e-09 3.44759988e-10 1.22062898e+08]
167,168,326.0,1,10.0,[-2.53386328e-09  3.97685753e-11  9.68180242e+02]
168,169,289.0,1,10.0,[-7.25551485e-10 -4.66728538e-11 -5.95367356e+03]
169,170,234.0,1,10.0,[ 1.92599693e-09 -9.23570643e-10  2.95190029e+01]
170,171,275.0,1,10.0,[ 6.51500308e-10  1.55787869e-09 -6.48870073e+02]
