,Evalaution Turn,iterations,success,fitness,position
62,63,79,1,2.413814579514701e-09,[ 2.34704875e-06 -4.90744938e-05  7.48400519e-01]
63,64,91,1,8.013919230488384e-09,[ 8.68746476e-05  2.16035839e-05 -1.32577159e+03]
64,65,52,1,4.101169463462456e-09,[-5.82156582e-05 -2.66853256e-05  3.75466693e+00]
65,66,77,1,4.413208104707037e-09,[ 6.60379683e-05 -7.22460013e-06 -2.70265358e+02]
66,67,86,1,1.8972321858044334e-10,[-1.36820539e-05  1.58890555e-06  1.46110621e+04]
67,68,80,1,1.92091485550665e-09,[-3.05722078e-05 -3.14046965e-05 -5.79341216e+01]
68,69,75,1,2.970691114306921e-10,[ 8.41623960e-06  1.50411443e-05 -5.48085548e+01]
69,70,91,1,2.6262851541912197e-09,[-3.30227166e-05  3.91890972e-05  1.55039465e+01]
70,71,79,1,1.969121190307015e-09,[ 1.25920190e-06 -4.43569115e-05  2.66460069e+02]
71,72,60,1,2.6888849064297393e-09,[-2.37909777e-05 -4.60746599e-05  1.35850101e+02]
72,73,71,1,4.457851429956778e-09,[ 5.15771774e-05  4.23986580e-05 -1.38598614e-01]
73,74,76,1,7.993945537066289e-09,[-6.20555271e-05  6.43665837e-05 -3.14753500e+01]
74,75,75,1,7.89107857005827e-10,[-8.43314564e-06  2.67953338e-05 -5.32206160e+00]
75,76,65,1,8.067584611486245e-09,[-8.04148147e-05  4.00130253e-05 -1.01961188e+01]
76,77,73,1,5.683755948539083e-09,[ 7.47164705e-06 -7.50195337e-05  4.38847394e+00]
77,78,70,1,4.566787753530647e-09,[ 4.78461739e-05  4.77234889e-05 -6.98185943e+02]
78,79,50,1,7.791832252078892e-09,[ 6.82491617e-05  5.59811056e-05 -1.63322728e+01]
79,80,69,1,5.410399864191896e-09,[ 4.23026768e-05 -6.01737767e-05  1.29649210e+01]
80,81,66,1,7.692293152252943e-09,[ 5.98270195e-05 -6.41328379e-05 -3.66615360e-02]
81,82,67,1,8.825225196751234e-09,[-4.55832930e-05  8.21424896e-05  4.32917028e+01]
82,83,64,1,3.5141482873299077e-09,[ 5.33389584e-05 -2.58670408e-05 -7.31437502e+01]
83,84,70,1,8.106906037435266e-09,[ 4.73930673e-05 -7.65558829e-05 -8.98114612e-01]
84,85,78,1,1.8416472419477246e-09,[ 6.91987162e-06 -4.23528348e-05  4.31692649e+02]
85,86,69,1,2.910481125222361e-09,[4.55090410e-06 5.37565847e-05 8.08642484e+00]
86,87,71,1,8.545517393004604e-09,[-8.82982527e-05  2.73666943e-05  3.11560150e+01]
87,88,64,1,7.083152726478782e-09,[ 2.83983964e-05 -7.92255250e-05 -2.62964943e+04]
88,89,85,1,9.4067391798308e-09,[9.43216307e-05 2.25869248e-05 2.03696263e+02]
89,90,78,1,3.3179478384056425e-09,[ 7.62130522e-06 -5.70952147e-05  2.90120882e-02]
90,91,75,1,3.331800360771303e-09,[-5.39868727e-05  2.04259134e-05 -6.83526707e+01]
91,92,68,1,6.370557474827887e-09,[-5.93087428e-05  5.34137670e-05  9.92338893e+04]
92,93,70,1,9.267257912807228e-09,[-9.53041653e-05 -1.35784387e-05  7.39486792e+00]
93,94,75,1,7.38509134939176e-09,[ 1.79546341e-05  8.40400051e-05 -1.93626602e+01]
94,95,80,1,7.4197568038811586e-09,[ 7.99542119e-05  3.20481014e-05 -9.17843612e+01]
95,96,73,1,3.7503193601135565e-11,[ 5.69965000e-06  2.23990701e-06 -6.21266535e+01]
96,97,75,1,7.560934177427544e-09,[-5.21988092e-05  6.95429256e-05 -2.14420042e+03]
97,98,85,1,7.597800962100936e-09,[5.10124070e-05 7.06791008e-05 5.27429617e+01]
98,99,62,1,2.276667930585381e-09,[ 3.54904326e-05 -3.18919602e-05  5.21778228e+00]
99,100,85,1,7.514338746414374e-09,[3.89295940e-05 7.74520849e-05 3.77711875e+01]
100,101,70,1,5.455236701049994e-09,[5.59370727e-05 4.82315312e-05 1.58117990e+02]
101,102,48,1,2.3556823112778394e-09,[-7.79773471e-06  4.79048812e-05  2.21213774e+03]
102,103,60,1,6.793387949149236e-09,[-3.60153756e-05  7.41369049e-05 -4.10358963e+03]
103,104,70,1,3.304698770266616e-09,[ 9.00891611e-06  5.67762116e-05 -6.85415410e-02]
104,105,66,1,5.503636282156744e-09,[-5.33939699e-05  5.15045655e-05 -2.18048941e+01]
105,106,81,1,3.133880802612556e-10,[-1.21487272e-05  1.28761992e-05 -2.60478543e-01]
106,107,64,1,7.531309224881377e-09,[5.29777136e-05 6.87362429e-05 4.60152948e+00]
107,108,79,1,1.0052082517409595e-09,[2.53560023e-05 1.90336912e-05 6.64777729e+01]
108,109,66,1,5.138361951590683e-10,[ 1.06976625e-05 -1.99848996e-05 -1.14527607e+02]
109,110,53,1,6.199685528688693e-09,[-2.31362209e-05  7.52622137e-05 -1.09649132e+02]
110,111,70,1,3.3495198391744274e-09,[-5.74494370e-06  5.75891957e-05 -8.15205774e+01]
111,112,64,1,6.281617469109622e-09,[-5.84356175e-05 -5.35434037e-05 -1.27759426e+02]
112,113,71,1,9.019003592244957e-09,[-5.76569404e-05 -7.54631090e-05  1.13298156e+02]
113,114,73,1,3.287111744029422e-09,[5.73295348e-05 6.60441787e-07 3.20825178e+01]
114,115,47,1,4.353286733685555e-09,[ 4.02613835e-05 -5.22714811e-05 -1.22548801e+01]
115,116,82,1,3.05833101582088e-09,[ 3.86246329e-05 -3.95786401e-05 -8.56195999e+01]
116,117,69,1,2.028732228544799e-09,[-1.41228524e-05 -4.27700511e-05 -1.13516909e+01]
117,118,53,1,2.695227885539184e-09,[-8.83882644e-06  5.11576293e-05 -1.90672647e+01]
118,119,58,1,4.082214191546061e-10,[ 6.53092423e-06 -1.91198443e-05 -9.66628360e+00]
119,120,65,1,6.57712747121906e-09,[ 3.17665075e-05  7.46191428e-05 -1.06617988e+01]
120,121,61,1,2.3306061903663077e-09,[-1.01820509e-05 -4.71903807e-05 -3.57393805e+00]
121,122,80,1,5.081047718116374e-09,[ 6.13949586e-05  3.62174927e-05 -2.00603326e+01]
122,123,97,1,2.707698724012628e-09,[5.17032643e-05 5.87121683e-06 1.13881252e+02]
123,124,79,1,5.13506060111781e-09,[ 5.78666616e-05 -4.22671277e-05  6.52355761e+00]
124,125,92,1,8.043738998227268e-09,[-8.64748685e-05  2.37873101e-05 -6.27682307e+00]
125,126,84,1,6.950182736145291e-09,[ 1.78456840e-05  8.14353381e-05 -3.48109692e+03]
126,127,47,1,6.375220057810302e-10,[ 2.46607736e-05 -5.41924838e-06 -1.10675772e+02]
127,128,59,1,6.197427975260818e-09,[-6.88651177e-05 -3.81447708e-05 -1.13764096e+01]
128,129,83,1,2.406182145418439e-09,[ 4.67351316e-05 -1.48999872e-05  2.20019806e+03]
129,130,76,1,1.685066968759915e-09,[-2.66335576e-05 -3.12365264e-05  3.32113243e+01]
