,Evalaution Turn,iterations,success,fitness,position
63,64,93,1,9.51138362719909e-09,[2.14139019e-06 9.75028106e-05 1.74088594e+03]
64,65,59,1,8.961076196946838e-09,[-6.48501983e-05  6.89603363e-05 -1.35171626e+01]
65,66,92,1,3.6079749897894937e-09,[ 5.18350145e-05  3.03497325e-05 -1.84581656e+02]
66,67,88,1,2.9602394752832282e-09,[-4.14414983e-05  3.52539600e-05 -9.74588572e+00]
67,68,90,1,2.93498055107955e-09,[ 5.25653676e-05  1.31096406e-05 -8.57220582e+02]
68,69,87,1,6.340790374639721e-09,[3.98578307e-05 6.89357941e-05 5.11351586e+03]
69,70,58,1,5.3453533254011766e-09,[ 2.04497204e-05 -7.01937480e-05  4.79963091e+03]
70,71,61,1,2.183993636737206e-09,[1.07102089e-05 4.54893950e-05 5.95466076e+01]
71,72,81,1,5.213971675907054e-09,[ 5.58049504e-05  4.58233476e-05 -9.73626862e+02]
72,73,93,1,1.8508873398944023e-09,[-3.44418079e-05 -2.57807915e-05 -7.85756257e+01]
73,74,72,1,2.994355060674767e-09,[5.33366491e-05 1.22293467e-05 2.97183636e+02]
74,75,67,1,2.165444038587253e-09,[ 3.88129175e-05  2.56710240e-05 -9.85237028e+01]
75,76,103,1,4.41820677092329e-09,[ 6.62971696e-05  4.78456593e-06 -3.26097107e+03]
76,77,57,1,1.9526510353786994e-09,[ 3.90016317e-05 -2.07731500e-05 -9.04109398e+02]
77,78,76,1,2.302267697239187e-09,[-4.79302034e-05  2.22784550e-06  3.00667466e+03]
78,79,84,1,5.498753041338916e-09,[ 5.96583988e-05  4.40412136e-05 -1.93167154e+01]
79,80,88,1,8.551289058132865e-09,[-1.34692838e-05 -9.14869797e-05 -4.28425255e+02]
80,81,61,1,6.680857823269664e-09,[6.81222464e-06 8.14521419e-05 6.20248387e+02]
81,82,56,1,3.9364596077338174e-10,[-8.82767609e-06 -1.77684579e-05 -3.15216658e+02]
82,83,80,1,8.545144369473977e-10,[-5.14659430e-06 -2.87754584e-05 -1.69235281e+01]
83,84,82,1,2.560040121260053e-09,[3.48683026e-05 3.66639004e-05 3.28936075e+04]
84,85,84,1,1.4224921108558259e-09,[-3.64518200e-05 -9.68281623e-06  4.72286309e+00]
85,86,73,1,6.213310071484474e-09,[1.65010849e-05 7.70780401e-05 1.63102532e+03]
86,87,69,1,6.565584011484134e-10,[-2.56004508e-05  1.08412133e-06 -6.40178668e+03]
87,88,80,1,3.4514730305159807e-09,[ 1.22518378e-05 -5.74575104e-05  1.01758946e+04]
88,89,74,1,1.6817169681598306e-09,[-4.08302958e-05 -3.82150623e-06  2.86671574e+04]
89,90,69,1,6.444191332561843e-09,[-5.37715631e-05  5.96054556e-05  7.05357689e+01]
90,91,93,1,3.5547080236517004e-09,[ 4.98473298e-05 -3.27101167e-05 -1.31720648e+01]
91,92,86,1,8.446473340539212e-09,[ 4.32388272e-05  8.10979479e-05 -6.61939506e+04]
92,93,69,1,9.72773643875105e-09,[ 7.96501375e-05 -5.81686517e-05  2.61583896e+03]
93,94,60,1,3.543136969305238e-09,[2.50147427e-05 5.40129578e-05 3.41414370e+01]
94,95,97,1,3.1864759768518133e-09,[ 5.20729548e-05  2.17918186e-05 -2.18512655e+03]
95,96,81,1,8.248829994258664e-09,[6.69315202e-05 6.13921950e-05 3.25595623e+01]
96,97,65,1,9.88724735441679e-09,[ 7.96347610e-05 -5.95445395e-05 -1.26761809e+01]
97,98,80,1,2.1896652101254278e-09,[ 3.51966499e-05  3.08360349e-05 -2.51918289e+04]
98,99,105,1,3.4554241395358515e-09,[ 2.36971783e-06  5.87350711e-05 -2.82997260e+06]
99,100,97,1,8.719558913670213e-11,[-2.90896638e-06 -8.87319017e-06 -1.61584893e+03]
100,101,94,1,7.407334239036238e-09,[-7.00794855e-05  4.99619851e-05  1.83867593e+05]
101,102,74,1,7.566479939108503e-09,[ 7.82940821e-05 -3.79014070e-05 -1.98610406e+02]
102,103,64,1,7.169269041739326e-09,[ 8.46500333e-05 -1.90811483e-06  7.97131694e+01]
103,104,67,1,7.735396362647255e-09,[ 1.37144925e-06  8.79404087e-05 -1.60230036e+01]
104,105,76,1,4.6455004563695665e-09,[-2.04378450e-05  6.50214961e-05  1.35911052e+03]
105,106,106,1,6.553291290898997e-09,[ 7.98826827e-05 -1.31167182e-05  1.26361712e+03]
106,107,62,1,5.226707985741763e-10,[-1.19492579e-05 -1.94906653e-05 -3.39514147e+02]
107,108,101,1,3.536979703996523e-11,[ 4.35401432e-06 -4.05121665e-06 -4.94038660e+01]
108,109,59,1,1.197227238426218e-09,[-2.19204697e-05  2.67716313e-05  2.23346940e+00]
109,110,64,1,8.086982637208193e-09,[-5.03738697e-05  7.44946702e-05  2.56576375e+03]
110,111,70,1,2.1159338565526123e-10,[ 5.60488524e-07 -1.45354476e-05  7.26227465e+00]
111,112,84,1,7.96484778596753e-09,[ 3.29749588e-05  8.29306932e-05 -2.80286055e+00]
112,113,78,1,6.2933649516575006e-09,[9.88545430e-06 7.87124053e-05 2.52152629e+01]
113,114,81,1,5.783134161666523e-09,[ 5.38715134e-05 -5.36748937e-05 -1.39380297e+01]
114,115,100,1,7.752592781089959e-09,[-4.53549870e-05  7.54686553e-05  6.51256091e+02]
115,116,83,1,9.239726654808284e-09,[-5.17999298e-05 -8.09721800e-05  2.91438441e+01]
116,117,82,1,7.013064684872768e-09,[ 8.31544917e-05 -9.91943494e-06  1.91446406e+03]
117,118,72,1,7.0460413716799926e-09,[-6.79068990e-05  4.93426230e-05 -2.23530693e+02]
118,119,65,1,5.494632869087643e-09,[-7.38229341e-05  6.69382292e-06  1.85351388e+02]
119,120,84,1,3.514964815929217e-09,[ 5.08038971e-05 -3.05602496e-05 -1.71043541e+03]
120,121,104,1,9.541225895611523e-10,[-1.48804220e-05  2.70683511e-05  4.51397592e+00]
121,122,62,1,7.213797160990716e-09,[-7.14759251e-05  4.58801622e-05  6.18295414e+03]
122,123,70,1,2.406410350690674e-09,[-4.79057038e-05  1.05571724e-05  7.21303208e+00]
123,124,83,1,1.9191807614533845e-09,[ 3.41610341e-05 -2.74263470e-05  2.06565007e+04]
124,125,67,1,8.188059843929236e-09,[-3.05293879e-06  9.04363832e-05  2.51505357e+01]
125,126,60,1,1.5527324369467159e-09,[3.79494239e-05 1.06100738e-05 3.40183623e+00]
126,127,78,1,1.315735116363918e-09,[-2.58453458e-05  2.54509964e-05  5.16763753e+03]
127,128,60,1,2.231220965136707e-09,[-4.65067270e-05 -8.26712190e-06  8.85471929e+01]
128,129,75,1,1.8876208250141929e-10,[-1.32830746e-05 -3.51027249e-06 -2.86639360e+03]
129,130,83,1,1.804485152639775e-09,[8.40480674e-06 4.16394570e-05 1.28370197e+03]
130,131,69,1,8.595863671782617e-09,[-2.88126678e-05  8.81231743e-05  5.26677099e+01]
131,132,104,1,7.672865593435417e-09,[ 8.75369797e-05  3.18477325e-06 -1.05972167e+04]
132,133,87,1,4.817212805744206e-09,[ 5.26173284e-05  4.52617891e-05 -1.71250079e+02]
133,134,67,1,5.905215002860551e-09,[ 5.74260654e-05 -5.10633138e-05 -4.11404040e+01]
134,135,93,1,5.088802721067108e-09,[ 7.12924977e-05 -2.48646091e-06 -4.37567149e+03]
135,136,95,1,8.646300320022922e-09,[ 1.61355216e-05  9.15748069e-05 -1.48142030e+05]
136,137,92,1,3.833901091243454e-09,[1.16193782e-05 6.08185099e-05 1.40623244e+02]
137,138,83,1,5.329310226499722e-09,[5.59556085e-05 4.68858199e-05 8.02679007e-01]
138,139,90,1,9.300371196262892e-09,[-2.61841877e-05 -9.28157288e-05 -1.31624894e+03]
139,140,77,1,2.1851475368255073e-09,[-4.27892897e-05 -1.88208455e-05  1.38401431e+03]
140,141,72,1,6.7856315854979195e-09,[7.39275609e-05 3.63365838e-05 3.77705163e+01]
141,142,67,1,5.097916339107113e-09,[ 6.06454067e-05  3.76835638e-05 -1.17170098e+02]
142,143,87,1,3.3762528735559706e-10,[ 1.34225960e-05 -1.25482750e-05  5.13258199e+00]
143,144,89,1,8.110258512492015e-09,[-8.96121471e-05 -8.93988885e-06 -7.26080422e+01]
144,145,65,1,8.002694975867668e-09,[-7.86007487e-05 -4.27155391e-05  1.26761442e+03]
145,146,93,1,8.001860735603147e-09,[-1.63426307e-05 -8.79475932e-05  7.67655882e+02]
146,147,81,1,9.580230541723651e-09,[ 5.12163155e-05  8.34093494e-05 -1.68511063e+02]
147,148,52,1,2.4112131802858766e-10,[-1.54940564e-05  1.02739183e-06  7.32799865e+00]
148,149,72,1,4.571487634337336e-10,[ 1.96131265e-05  8.51316823e-06 -7.08353880e+03]
149,150,70,1,1.2622997182594224e-09,[-1.52128273e-06  3.54962733e-05  7.50438541e+03]
150,151,98,1,6.2305315213552665e-09,[ 6.29573417e-05 -4.76120221e-05 -7.55812379e+01]
151,152,73,1,2.9579463326532605e-09,[1.93988268e-07 5.43866592e-05 2.26380407e+02]
152,153,78,1,7.372757799427982e-10,[-1.19041441e-05  2.44042442e-05 -3.06995084e+01]
153,154,82,1,3.48820211938714e-09,[-1.23171345e-05  5.77623607e-05 -9.79662785e+01]
154,155,95,1,8.380305395930398e-10,[ 2.84483105e-05 -5.35949327e-06 -9.43139682e+01]
155,156,74,1,5.561113805990742e-09,[-4.75858962e-05  5.74168642e-05 -1.32844549e+02]
156,157,64,1,8.809338195589322e-09,[ 1.61555576e-05 -9.24572126e-05 -4.89113130e+01]
157,158,94,1,8.584239149261168e-09,[-3.79552394e-05  8.45200506e-05 -3.40078341e+02]
158,159,92,1,2.3988457797569335e-09,[-1.26829042e-05  4.73073960e-05  5.77796313e+04]
159,160,92,1,1.2698198480518412e-09,[-2.23688082e-05  2.77390747e-05 -2.58923974e+02]
160,161,59,1,6.073721389445728e-09,[-2.31354040e-05  7.44209276e-05 -5.35028888e+03]
161,162,95,1,2.909453931560428e-09,[-1.00583904e-05  5.29932327e-05 -4.97392947e+02]
162,163,86,1,8.654686154604437e-09,[ 9.10520138e-05 -1.90844684e-05 -6.68357040e+01]
163,164,66,1,9.572187368220655e-09,[ 6.80675988e-06 -9.76004887e-05 -1.21885540e+02]
164,165,83,1,1.3147546650098977e-09,[ 2.01163699e-05  3.01676371e-05 -3.33663027e+05]
