,Evalaution Turn,iterations,success,fitness,position
73,74,156,1,10.0,[-1.33407904e-09  5.94983303e-10 -2.75426870e+04]
74,75,166,1,10.0,[3.63753589e-09 1.09649788e-09 2.58145875e+04]
75,76,124,1,10.0,[2.66463624e-09 5.69356556e-10 3.82416915e+04]
76,77,139,1,10.0,[ 3.39178415e-09 -1.34918355e-09  1.67963013e+05]
77,78,121,1,10.0,[-1.55749771e-09 -1.36629738e-09 -3.22039054e+01]
78,79,128,1,10.0,[3.68270537e-10 1.11684470e-09 1.39345878e+03]
79,80,148,1,10.0,[-1.88064719e-11  1.53154937e-09 -2.62930558e+04]
80,81,141,1,10.0,[-2.46856071e-09  1.32774489e-09 -5.34243665e+02]
81,82,123,1,10.0,[ 1.10907157e-09 -2.94573926e-10  1.36207827e+03]
82,83,147,1,10.0,[-8.06905966e-10  9.65680564e-11 -1.72165516e+04]
83,84,138,1,10.0,[-2.34090669e-09 -1.48370786e-10 -2.38299646e+05]
84,85,118,1,10.0,[ 2.72719840e-09 -3.46839340e-10 -1.38116333e+03]
85,86,142,1,10.0,[ 2.29347418e-09  1.64477647e-09 -6.45796825e+00]
86,87,149,1,10.0,[ 2.96900932e-09 -1.40728361e-09  6.51224256e+02]
87,88,122,1,10.0,[8.82125023e-10 1.14944144e-09 6.73116735e+05]
88,89,142,1,10.0,[-1.87713084e-10  3.90215085e-11 -4.53363489e+02]
89,90,156,1,10.0,[-7.66914026e-10  8.63074953e-10  2.16982852e+00]
90,91,143,1,10.0,[2.48792792e-09 7.95942292e-10 3.94634975e+03]
91,92,152,1,10.0,[-1.02435155e-09 -2.81494910e-10 -4.79017500e+01]
92,93,140,1,10.0,[ 1.55332448e-09 -1.60652273e-09 -5.22887896e+00]
93,94,149,1,10.0,[7.95222899e-11 3.27791549e-10 1.54550381e+04]
94,95,135,1,10.0,[-1.38057482e-09  1.54545200e-09 -1.09614318e+03]
95,96,168,1,10.0,[3.42188215e-09 8.67019917e-11 6.69896126e+02]
96,97,138,1,10.0,[ 3.12606595e-09  1.47334845e-09 -2.60299152e+02]
97,98,143,1,10.0,[-5.07355059e-10 -1.60175317e-09 -7.13409007e+02]
98,99,147,1,10.0,[ 3.49078022e-09  6.34871452e-10 -3.44612174e-01]
99,100,155,1,10.0,[-4.58907632e-11 -9.52483277e-10  5.22248319e+03]
100,101,148,1,10.0,[ 2.61365603e-09  1.21034732e-09 -8.35806584e+02]
101,102,113,1,10.0,[ 3.72938470e-09  1.90558070e-11 -2.52866501e+01]
102,103,148,1,10.0,[-8.66930370e-10 -8.71796004e-10 -3.56484629e+02]
103,104,137,1,10.0,[-2.69967371e-09  8.23547356e-10  2.19663265e+01]
104,105,131,1,10.0,[-2.25309893e-09 -6.21702853e-10  3.23421679e+04]
105,106,139,1,10.0,[ 1.62120666e-09  1.47144922e-10 -4.07372578e+02]
106,107,155,1,10.0,[-8.82612328e-10  1.34536286e-09 -5.76995854e+04]
107,108,136,1,10.0,[ 2.14567472e-10 -7.96776457e-10  5.58281472e+02]
108,109,172,1,10.0,[ 3.36042494e-09  6.90712531e-11 -3.11168382e+02]
109,110,144,1,10.0,[ 2.89312901e-10 -8.45741231e-10  1.04632631e+03]
110,111,132,1,10.0,[-3.23465630e-10  2.50333787e-11 -3.68918526e+04]
111,112,138,1,10.0,[3.26831012e-09 8.54178204e-10 5.34799937e+04]
112,113,125,1,10.0,[ 3.28003924e-09 -6.91055259e-10 -1.43811233e+04]
113,114,140,1,10.0,[-1.10053803e-09 -4.06999468e-10  1.72537556e+03]
114,115,155,1,10.0,[ 5.75386954e-10 -2.53656532e-10 -1.83294100e+05]
115,116,134,1,10.0,[ 2.63815174e-09 -2.75720664e-10 -1.80268128e+01]
116,117,133,1,10.0,[ 1.97082311e-09 -9.56562049e-10 -1.01695895e+02]
117,118,152,1,10.0,[ 3.35584005e-09  8.22907156e-10 -3.93194311e+02]
118,119,135,1,10.0,[-3.01006318e-09  1.08904093e-09  2.23766442e+03]
119,120,152,1,10.0,[-3.65961135e-09 -8.92839429e-10  2.80609008e+01]
120,121,144,1,10.0,[-2.89827219e-09 -1.42128368e-09 -1.20192430e+02]
121,122,137,1,10.0,[-6.33377214e-10 -1.56860422e-09 -7.09558069e+03]
122,123,143,1,10.0,[-1.20930091e-09  7.19976527e-10  3.97819108e-01]
123,124,145,1,10.0,[ 2.66301224e-09 -2.35636178e-10  5.59307385e+01]
124,125,141,1,10.0,[ 2.14550528e-09 -6.68007693e-10  2.27678192e+05]
125,126,137,1,10.0,[ 3.04533070e-09 -4.75289718e-10  1.54199975e+01]
126,127,131,1,10.0,[-3.06462397e-09 -1.18569771e-09  9.00260434e+01]
127,128,155,1,10.0,[ 1.23614489e-10 -5.35847313e-10  1.36305050e+05]
128,129,149,1,10.0,[3.66724025e-09 8.20354541e-10 1.36621366e+04]
129,130,155,1,10.0,[ 3.71308389e-09 -6.18469785e-10  3.53017113e+03]
130,131,116,1,10.0,[-2.35125048e-09 -3.39945209e-10 -1.12466906e+03]
131,132,149,1,10.0,[-7.53547132e-10 -7.46057134e-10  2.87314020e+04]
132,133,139,1,10.0,[2.40780447e-09 3.72696506e-11 1.54617412e+03]
133,134,125,1,10.0,[-1.26600112e-09  8.38585694e-10  3.39273953e+02]
134,135,122,1,10.0,[-3.64926634e-09 -1.20870189e-09  9.20111348e+04]
135,136,148,1,10.0,[ 9.12107803e-10 -1.02875905e-09  9.34323623e+04]
136,137,142,1,10.0,[1.59626150e-09 9.66913141e-10 1.60801149e+02]
137,138,159,1,10.0,[ 1.98148068e-09 -3.88411081e-10 -7.79384368e+01]
138,139,126,1,10.0,[-3.61434496e-10 -1.47998829e-09 -4.07363681e+01]
139,140,163,1,10.0,[ 1.62903124e-09  7.94723311e-10 -3.84675213e+04]
140,141,121,1,10.0,[ 3.07526581e-09 -1.53425678e-09  3.82274398e+01]
141,142,139,1,10.0,[-3.21967084e-09 -1.67857859e-11  1.72236970e+02]
142,143,137,1,10.0,[-2.09093652e-09 -3.94479649e-10 -1.59450200e+01]
143,144,142,1,10.0,[-1.46274925e-09 -1.40779949e-09  6.13782115e+01]
144,145,151,1,10.0,[-3.84206961e-10 -1.62426157e-09 -6.04142474e+02]
145,146,154,1,10.0,[-3.78304671e-10 -4.97364725e-10  3.72579379e+01]
146,147,152,1,10.0,[-1.49153649e-09 -8.99996695e-10  2.34219524e+01]
147,148,141,1,10.0,[ 5.66226272e-10 -6.05027511e-10 -1.24322275e+02]
148,149,144,1,10.0,[-1.06612854e-09 -1.17422119e-09  1.81895706e+04]
149,150,128,1,10.0,[ 2.68633349e-09 -1.52945133e-09  1.44064910e+04]
150,151,159,1,10.0,[-2.81114533e-09 -1.30876626e-09  4.46290502e+02]
151,152,162,1,10.0,[3.49817214e-09 1.34241633e-09 1.54968804e+02]
152,153,143,1,10.0,[7.16862851e-10 2.62038804e-10 3.78958829e+02]
153,154,137,1,10.0,[-8.67152406e-10 -1.49696963e-09  4.51557696e+01]
154,155,131,1,10.0,[ 2.89130376e-09 -1.24732989e-09 -7.25294571e+01]
155,156,114,1,10.0,[-2.32894231e-09  7.28840645e-10  1.88808235e+03]
156,157,166,1,10.0,[-4.36260342e-10 -1.05544387e-09  1.77658540e+04]
157,158,150,1,10.0,[-8.55855921e-10  2.96513690e-10  9.89806902e+03]
158,159,140,1,10.0,[ 1.52327935e-09 -1.06468863e-09 -3.37449775e+04]
159,160,137,1,10.0,[ 2.25665880e-09 -5.36330657e-10  1.05018176e+04]
160,161,134,1,10.0,[-1.50605446e-09  3.97495948e-10  2.83283063e+03]
161,162,134,1,10.0,[ 2.46107517e-09 -1.45560438e-09 -9.88978681e+02]
162,163,143,1,10.0,[-2.01856604e-10  5.14347198e-10  9.37665173e+01]
163,164,163,1,10.0,[-2.01241570e-09 -1.15390335e-09 -4.33524971e+01]
164,165,137,1,10.0,[ 8.56147965e-10  1.62892444e-09 -4.83675653e+03]
165,166,131,1,10.0,[-6.93449813e-10 -1.50041066e-09 -1.65443483e+01]
166,167,137,1,10.0,[-1.78956406e-09 -4.04832493e-10  1.19976859e+04]
167,168,149,1,10.0,[ 3.66674399e-09 -1.12304056e-11 -5.86447449e+02]
168,169,151,1,10.0,[-1.26159756e-09 -1.54536332e-09 -6.44053613e+03]
169,170,149,1,10.0,[-2.32049197e-09  1.21937743e-09  7.69783875e+04]
170,171,133,1,10.0,[ 3.35849845e-09 -1.11230630e-09  6.27249230e+00]
171,172,156,1,10.0,[3.39693008e-09 1.41420735e-09 1.92105861e+02]
172,173,148,1,10.0,[-2.92146171e-10  3.29253798e-10 -4.03680019e+01]
173,174,143,1,10.0,[-1.47075500e-09 -1.17050991e-09  1.33535972e+02]
174,175,159,1,10.0,[-2.30747693e-09  8.33764665e-10 -1.23836086e+06]
175,176,144,1,10.0,[ 4.94664057e-10  1.17266050e-09 -6.39329546e+03]
176,177,139,1,10.0,[ 1.04269296e-10  2.17956350e-10 -5.19078761e+02]
177,178,128,1,10.0,[ 2.47955596e-09 -4.30286907e-10 -1.35078280e+04]
178,179,145,1,10.0,[ 1.80795433e-10  6.71232159e-11 -4.59099340e+04]
179,180,156,1,10.0,[ 8.18360675e-10 -3.82980038e-11 -3.66485300e+03]
180,181,140,1,10.0,[ 1.87718716e-09  6.52807422e-10 -1.82250900e+02]
181,182,142,1,10.0,[-2.34680833e-09  2.21713126e-10  5.50665207e+02]
182,183,132,1,10.0,[-1.12974496e-09 -1.24521612e-09 -1.21844866e+03]
183,184,132,1,10.0,[-1.43895130e-10  1.21468119e-09  3.86866268e+02]
184,185,148,1,10.0,[-2.81500026e-09  1.15414194e-09  8.31702592e+04]
185,186,149,1,10.0,[-2.76686168e-09 -1.51342041e-09 -1.84211709e+02]
186,187,127,1,10.0,[-8.35722528e-10 -1.25821427e-09  2.88158051e+02]
187,188,143,1,10.0,[ 1.81849412e-09 -4.74196573e-10 -5.09781904e+03]
188,189,158,1,10.0,[ 2.79637195e-09 -9.16430661e-10  3.65550462e+03]
189,190,142,1,10.0,[2.66522571e-09 7.43508039e-10 8.65202857e+02]
190,191,148,1,10.0,[-3.73713930e-09 -5.98428111e-10  2.33528791e+02]
191,192,142,1,10.0,[ 2.36310222e-09  6.27976627e-10 -3.37241257e+04]
192,193,130,1,10.0,[5.09832481e-10 1.37662475e-09 4.93895062e+03]
193,194,146,1,10.0,[-3.16760837e-09  1.15880478e-09  5.10766852e+03]
194,195,143,1,10.0,[-1.41171592e-09 -7.24082291e-10  4.05285416e+01]
195,196,152,1,10.0,[ 5.31664311e-11  5.24577910e-10 -2.99922658e+01]
196,197,136,1,10.0,[ 3.27070715e-09 -1.26286046e-10  9.00639422e+02]
197,198,113,1,10.0,[3.09034710e-09 7.77411556e-10 3.25199770e+01]
198,199,152,1,10.0,[-3.05385053e-10  1.08184371e-10  6.30601379e+01]
