,Evalaution Turn,iterations,success,fitness,position
0,1,170,1,10.0,[ 1.48608541e-10  1.62900250e-09 -4.84092516e+03]
1,2,163,1,10.0,[ 1.36120090e-09 -1.56655055e-09  1.31674928e+03]
2,3,203,1,10.0,[-2.16872046e-09  1.46177701e-09 -2.36675949e+02]
3,4,163,1,10.0,[ 3.50088530e-09 -1.51108915e-09 -7.29204829e+01]
4,5,199,1,10.0,[ 2.78940684e-09 -1.04280666e-09 -1.73871454e+04]
5,6,218,1,10.0,[-2.48953216e-09 -1.29229219e-09  8.46063806e+04]
6,7,166,1,10.0,[1.43244989e-09 1.09275567e-10 2.72090479e+01]
7,8,173,1,10.0,[-2.85980730e-09  9.45860177e-10 -5.61523868e+04]
8,9,183,1,10.0,[ 7.25032750e-10  1.40778971e-09 -4.04576697e+04]
9,10,173,1,10.0,[-2.81289059e-10 -1.64012052e-09  3.35570459e+03]
10,11,190,1,10.0,[ 8.07285181e-10 -1.13515731e-09  3.99715838e+04]
11,12,190,1,10.0,[ 2.35710703e-09 -1.55027075e-09  2.37656006e+03]
12,13,145,1,10.0,[-3.16850552e-09  4.84199890e-10 -8.08032413e+02]
13,14,190,1,10.0,[-2.76407728e-09  3.49072139e-10 -6.50814753e+01]
14,15,176,1,10.0,[-6.20461732e-10 -1.19960084e-09 -6.53029203e+03]
15,16,200,1,10.0,[ 5.03127713e-10 -1.54463936e-10 -1.31356647e+03]
16,17,227,1,10.0,[-3.21201839e-09 -8.88919107e-10 -2.63258182e+03]
17,18,170,1,10.0,[-3.22004168e-09  7.79303162e-10 -1.69967713e+01]
18,19,179,1,10.0,[-2.55215913e-09 -9.84790752e-10  1.32079747e+04]
19,20,213,1,10.0,[ 1.61638094e-09 -1.67233847e-09  5.84437441e+01]
20,21,192,1,10.0,[ 2.09106787e-09  5.25314572e-11 -1.25135331e+03]
21,22,179,1,10.0,[ 3.68866239e-09 -8.01071827e-10  4.73475594e+01]
22,23,147,1,10.0,[ 6.01039341e-10 -2.02249242e-10 -5.60917357e+02]
23,24,233,1,10.0,[-1.73258374e-09 -7.01173224e-10  3.10215630e+03]
24,25,178,1,10.0,[-3.38693142e-09  4.79154873e-10  1.30983490e+04]
25,26,169,1,10.0,[-1.37846266e-09  9.92129094e-10  1.66586618e+05]
26,27,181,1,10.0,[1.35257798e-09 1.23589954e-09 7.34828435e+04]
27,28,186,1,10.0,[ 2.32320511e-09 -9.47986998e-10 -2.45150593e+02]
28,29,164,1,10.0,[ 4.73033763e-10 -1.11540915e-09 -9.34576086e+07]
29,30,195,1,10.0,[4.36074491e-10 1.35086758e-09 2.27391858e+07]
30,31,201,1,10.0,[ 1.75635492e-09  1.12884160e-09 -8.26957104e+01]
31,32,143,1,10.0,[ 1.32631598e-09  6.68558803e-10 -1.93484261e+01]
32,33,230,1,10.0,[-2.90327063e-09 -2.76815391e-10  5.23778853e+01]
33,34,217,1,10.0,[ 5.26597885e-10  1.99969001e-10 -3.71539256e+01]
34,35,197,1,10.0,[-1.72281894e-09 -4.68552890e-10 -6.98948031e+03]
35,36,172,1,10.0,[3.10487054e-09 2.73080469e-10 2.97933386e+02]
36,37,191,1,10.0,[ 1.49806609e-10 -7.95661717e-10  1.92489457e+03]
