,Evalaution Turn,iterations,success,fitness,position
0,1,116,1,4.637246353213327e-09,[ 5.42356414e-05 -4.11793826e-05  2.27473978e+03]
1,2,175,1,2.8022660491054166e-09,[-3.61176640e-05 -3.87011679e-05 -2.62898751e+02]
2,3,75,1,4.163147407472177e-09,[-5.21679928e-05 -3.79690391e-05 -2.67718422e+02]
3,4,137,1,6.575392112975556e-09,[ 7.16415126e-05 -3.79853364e-05  2.78808580e+04]
4,5,90,1,7.89605802242249e-09,[7.83660245e-05 4.18906221e-05 2.67653508e+02]
5,6,113,1,6.256541929955383e-09,[ 6.91485761e-05 -3.84059417e-05 -1.12673960e+01]
6,7,141,1,3.3762704330807383e-09,[-4.96146085e-05 -3.02433639e-05  5.59420292e+02]
7,8,141,1,2.522862242830417e-09,[-4.50851489e-05 -2.21402709e-05 -6.36895418e+00]
8,9,118,1,2.264159721898195e-09,[-4.71874991e-05 -6.12369605e-06  1.22576855e+02]
9,10,106,1,7.881358396227535e-09,[7.60001746e-05 4.58838954e-05 1.00404700e+03]
10,11,105,1,3.898058560578642e-09,[-2.97248117e-05  5.49044090e-05 -1.32583699e+02]
11,12,103,1,7.669529083541907e-09,[-8.19904517e-06  8.71911965e-05  2.94513348e+01]
12,13,117,1,7.800018220738956e-09,[7.80039292e-05 4.14174510e-05 2.16774417e+01]
13,14,82,1,9.032758868165894e-09,[9.32708596e-05 1.82566595e-05 8.52861485e+00]
14,15,107,1,9.87821202065868e-09,[4.96354509e-05 8.61076886e-05 3.19849853e+03]
15,16,80,1,4.504269691580474e-09,[-3.67170474e-05  5.61794279e-05 -4.30421892e+01]
16,17,105,1,8.512753651427634e-09,[-5.69927670e-05 -7.25574128e-05  1.18948334e+02]
17,18,153,1,9.018926144910414e-09,[ 2.55126995e-05 -9.14769278e-05 -2.86134681e+03]
18,19,114,1,9.605192837198538e-09,[-9.48775365e-05  2.45651359e-05  1.86060309e+01]
19,20,130,1,9.00429413258453e-09,[ 9.07779770e-05 -2.76342726e-05  1.70011043e+05]
20,21,122,1,7.389829914874174e-09,[-1.69448796e-05  8.42775235e-05  6.60904142e+02]
21,22,72,1,8.81729777002044e-09,[ 2.38005094e-08 -9.39004643e-05  6.67225243e+01]
22,23,119,1,6.3461145003250385e-09,[-6.52032104e-05 -4.57674104e-05 -1.57455119e+04]
23,24,149,1,7.454484110314968e-09,[ 3.67998268e-05 -7.81041411e-05 -1.30422461e+04]
24,25,101,1,9.751662969012751e-09,[-5.61576513e-05  8.12279580e-05  1.19293245e+02]
25,26,107,1,6.734225700739575e-09,[ 9.46116611e-06 -8.15151031e-05  2.68372597e+03]
26,27,140,1,9.457827823642073e-09,[ 2.50715739e-05 -9.39640570e-05 -1.04606698e+04]
27,28,103,1,8.391552762119637e-09,[ 6.09242325e-05 -6.84089954e-05 -1.11157189e+02]
28,29,185,1,9.070300919492032e-09,[ 4.34102510e-05 -8.47693991e-05 -2.15038401e+01]
29,30,103,1,1.5102840929620487e-09,[-2.90623435e-05  2.58004706e-05  1.80776403e+02]
30,31,101,1,8.084811125600977e-09,[2.56950861e-05 8.61659659e-05 8.50581303e+01]
