,Evalaution Turn,iterations,success,fitness,position
72,73,220.0,1,10.0,[-1.47893332e-09  4.87944478e-10 -1.10273080e+04]
73,74,270.0,1,10.0,[6.76001497e-10 5.28803978e-10 1.11835741e+03]
74,75,262.0,1,10.0,[6.74169383e-10 6.57859822e-10 2.91288302e+03]
75,76,213.0,1,10.0,[-9.79755680e-10  2.66135026e-10  8.50429438e+02]
76,77,213.0,1,10.0,[-2.93469386e-09  1.12305075e-09 -2.35587748e+06]
77,78,300.0,1,10.0,[1.46098219e-09 4.22639986e-11 1.09900832e+01]
78,79,335.0,1,10.0,[-2.47205076e-09 -7.57477465e-10 -1.24165973e+08]
79,80,319.0,1,10.0,[ 3.08208407e-09 -1.38163708e-10 -2.12130964e+03]
80,81,189.0,1,10.0,[ 2.49650722e-09 -1.20058966e-09  3.16502067e+04]
81,82,237.0,1,10.0,[ 2.35751922e-09 -4.64173038e-10 -1.18236016e+05]
82,83,273.0,1,10.0,[2.22868899e-09 1.42536881e-09 2.40568257e+01]
83,84,281.0,1,10.0,[-2.89065553e-09  1.45162729e-09  4.92082295e+06]
84,85,308.0,1,10.0,[-3.22637437e-09 -1.40158463e-09  1.41896125e+02]
85,86,305.0,1,10.0,[ 8.28614608e-10  1.43357018e-09 -6.37185354e+04]
86,87,276.0,1,10.0,[ 2.26921389e-09 -1.01022465e-09  8.73554530e+02]
87,88,306.0,1,10.0,[-2.73853202e-10 -2.36130554e-11  6.98173619e+05]
88,89,224.0,1,10.0,[ 1.12410814e-09  2.28331470e-10 -7.95708815e+03]
89,90,301.0,1,10.0,[-2.77855838e-09 -4.90081044e-11 -3.59991855e+02]
90,91,258.0,1,10.0,[ 3.54066701e-09 -1.52339673e-09 -8.46173883e+04]
91,92,270.0,1,10.0,[ 5.17161233e-10 -8.14530588e-10 -3.19812890e+06]
92,93,308.0,1,10.0,[-3.07684914e-09 -1.14335915e-09  1.38519919e+07]
93,94,206.0,1,10.0,[ 3.58582916e-09 -1.62017268e-09  7.43985772e+02]
94,95,269.0,1,10.0,[ 3.65766254e-09  1.16022811e-09 -9.38925252e+04]
95,96,312.0,1,10.0,[ 2.68553723e-09 -1.55035829e-09 -1.41711865e+02]
96,97,255.0,1,10.0,[2.56946644e-09 1.67068211e-09 6.51511388e+06]
97,98,261.0,1,10.0,[-2.62323257e-09 -6.68906125e-10 -2.89495943e+04]
98,99,264.0,1,10.0,[ 2.86030773e-09  7.57378453e-10 -2.74922717e+07]
99,100,307.0,1,10.0,[-2.81407675e-09  5.60297732e-10 -3.06804358e+04]
100,101,236.0,1,10.0,[2.31145983e-09 1.35737464e-09 1.13488803e+07]
101,102,254.0,1,10.0,[ 4.28541426e-10 -1.29363692e-09  5.67002907e+01]
102,103,219.0,1,10.0,[-1.17894696e-09 -1.16116628e-09  2.17731407e+06]
103,104,273.0,1,10.0,[3.47846113e-09 1.28701839e-09 4.50311011e+03]
104,105,224.0,1,10.0,[-2.10807685e-09  8.97542763e-10 -2.25195706e+04]
105,106,317.0,1,10.0,[-6.65912361e-10 -2.88329721e-10  4.63253718e+04]
106,107,283.0,1,10.0,[-2.54744893e-10 -3.28832703e-10  5.63866443e+04]
107,108,227.0,1,10.0,[ 1.54934015e-09 -1.37347612e-09 -1.97218159e+05]
108,109,316.0,1,10.0,[-7.61117511e-11  8.85354882e-10 -3.92448732e+04]
109,110,264.0,1,10.0,[-2.85405107e-10 -5.02163219e-10 -7.19915631e+00]
110,111,221.0,1,10.0,[-2.77119556e-09 -1.54740306e-09  1.72257983e+00]
111,112,293.0,1,10.0,[-3.50161033e-09 -2.94246943e-10  1.92994265e+04]
112,113,273.0,1,10.0,[1.22676579e-09 1.71264239e-10 2.70548782e+01]
