,Evalaution Turn,iterations,success,fitness,position
0,1,407.0,1,10.0,[3.71255615e-09 8.28943536e-10 4.74391796e+04]
1,2,379.0,1,10.0,[ 1.80298676e-09 -1.01741763e-09 -7.58661755e+03]
2,3,378.0,1,10.0,[-5.14883790e-10 -1.65361223e-09  4.84009284e+03]
3,4,312.0,1,10.0,[-8.77829180e-11  2.97214700e-10 -1.14440839e+06]
4,5,459.0,1,10.0,[-6.38155536e-10 -5.95962320e-10  3.95582059e+04]
5,6,342.0,1,10.0,[ 1.59217716e-09  1.87142558e-10 -3.79812686e+02]
6,7,341.0,1,10.0,[ 2.35480996e-09  5.35868660e-10 -1.80483393e+05]
7,8,356.0,1,10.0,[ 3.62213098e-09 -8.28355096e-10  1.66440660e+03]
8,9,345.0,1,10.0,[ 3.33676170e-09  1.63504738e-09 -3.07960279e+03]
9,10,381.0,1,10.0,[ 3.22605477e-09  5.29456140e-11 -3.46172803e+04]
10,11,364.0,1,10.0,[-1.13129754e-09  1.58158420e-11  1.15325861e+04]
11,12,417.0,1,10.0,[-2.51756207e-10  5.48225857e-10 -4.86329407e+09]
12,13,369.0,1,10.0,[3.13268873e-09 1.35175439e-09 3.07833145e+04]
13,14,326.0,1,10.0,[-1.95188272e-09 -1.49903964e-09 -4.03623308e+01]
14,15,327.0,1,10.0,[ 1.44314439e-10  9.55716263e-10 -5.37750303e+03]
15,16,310.0,1,10.0,[-8.80681207e-11 -1.49284223e-09 -2.24193108e+02]
16,17,309.0,1,10.0,[1.87445791e-09 1.01250650e-09 7.93785847e+02]
17,18,438.0,1,10.0,[ 6.83389422e-10  1.40619658e-09 -4.14959813e+06]
18,19,372.0,1,10.0,[-1.09260085e-09 -9.93937058e-11 -1.18570392e+06]
19,20,293.0,1,10.0,[-2.18114791e-09 -1.52970141e-09  1.06473137e+06]
20,21,310.0,1,10.0,[1.83521812e-09 1.10567923e-09 9.36129992e+03]
21,22,293.0,1,10.0,[2.92751881e-09 1.57515257e-09 1.27484621e+03]
22,23,395.0,1,10.0,[-1.02080509e-09 -3.20095607e-10 -4.70017467e+05]
23,24,391.0,1,10.0,[-1.97820781e-09  1.63928820e-09  3.55846010e+05]
24,25,329.0,1,10.0,[-2.04653821e-09 -7.85375537e-10  5.92946264e+04]
25,26,269.0,1,10.0,[ 2.58739761e-09  9.64835775e-10 -1.73892763e+04]
26,27,416.0,1,10.0,[ 2.39933185e-09 -1.62679400e-09 -1.44060353e+02]
27,28,357.0,1,10.0,[ 1.26611385e-09 -4.47281819e-10 -9.19174394e+01]
28,29,,0,,
29,30,407.0,1,10.0,[-1.71748654e-09 -1.67378326e-09 -9.82142814e+01]
30,31,301.0,1,10.0,[-2.81261148e-10  1.14100832e-09 -7.18842090e+02]
31,32,352.0,1,10.0,[ 1.96570305e-09 -1.13625568e-09  8.12234522e+02]
32,33,380.0,1,10.0,[-3.43616651e-09  1.67120586e-09  2.06521239e+04]
33,34,335.0,1,10.0,[ 3.89404453e-10  3.70239783e-11 -3.02342190e+04]
34,35,333.0,1,10.0,[-2.07284394e-09  1.05903097e-09 -2.56381187e+07]
35,36,327.0,1,10.0,[-6.84606365e-10  1.56749939e-09 -2.11974496e+04]
36,37,351.0,1,10.0,[-2.09414788e-10  1.33624666e-10 -8.79520820e+00]
37,38,356.0,1,10.0,[ 3.21809389e-09  7.03876097e-10 -2.48983602e+04]
38,39,371.0,1,10.0,[ 3.77331782e-10  5.11785447e-10 -5.25712642e+04]
39,40,288.0,1,10.0,[1.63309532e-09 1.65138193e-09 6.24190173e+06]
40,41,,0,,
41,42,385.0,1,10.0,[-2.74323031e-09  8.55004783e-10 -2.11017080e+04]
42,43,296.0,1,10.0,[ 3.47549439e-10 -1.96692036e-10  5.98221315e+01]
43,44,372.0,1,10.0,[-5.47123794e-11  3.51587605e-10  4.21934235e+07]
44,45,274.0,1,10.0,[-1.19016158e-09 -1.62305096e-09  5.59798516e+06]
45,46,359.0,1,10.0,[-1.09714778e-09 -1.12433309e-09  4.47391438e+05]
46,47,368.0,1,10.0,[ 2.02647584e-09 -1.09679141e-09  7.50146227e+05]
47,48,296.0,1,10.0,[ 1.78480992e-09 -1.53123166e-09 -5.63845857e-01]
48,49,428.0,1,10.0,[-2.08702313e-09 -8.62502773e-10 -6.22173206e+02]
49,50,367.0,1,10.0,[-1.54550598e-09 -1.32850213e-09  2.12821418e+03]
50,51,,0,,
51,52,388.0,1,10.0,[-7.96410392e-10  1.14579670e-09  6.44595755e+05]
52,53,,0,,
53,54,,0,,
54,55,473.0,1,10.0,[-1.15113347e-09 -6.71366479e-10 -5.61873867e+09]
55,56,338.0,1,10.0,[ 3.27421708e-09 -1.04180115e-09 -8.74331162e+05]
56,57,,0,,
57,58,243.0,1,10.0,[ 3.20582216e-10  1.60656751e-09 -3.37848074e+05]
58,59,227.0,1,10.0,[2.96455701e-10 1.30278408e-09 8.70082227e+02]
59,60,329.0,1,10.0,[-2.73695029e-09 -1.45131989e-09  1.64436013e+04]
60,61,361.0,1,10.0,[-8.89029400e-10  1.38747988e-10  7.52157030e+05]
61,62,285.0,1,10.0,[ 9.13719516e-11 -1.29898860e-09  4.77636025e+03]
62,63,373.0,1,10.0,[2.00200935e-10 4.29033376e-10 7.22046294e+02]
63,64,355.0,1,10.0,[ 1.95465600e-09  1.43640265e-09 -1.65532187e+04]
64,65,377.0,1,10.0,[-3.05766826e-09 -2.46336574e-10 -5.21415060e+01]
65,66,392.0,1,10.0,[1.17122312e-09 2.62771105e-10 4.61055913e+06]
66,67,381.0,1,10.0,[-1.12529993e-09  1.60015184e-09  4.82390797e+07]
67,68,312.0,1,10.0,[2.82465695e-09 1.35467660e-09 6.19964047e+02]
68,69,254.0,1,10.0,[ 3.89859041e-10 -1.28193669e-09 -5.94873487e+03]
69,70,413.0,1,10.0,[ 1.35368181e-09  3.88790145e-10 -3.36608703e+04]
70,71,319.0,1,10.0,[3.36454090e-09 1.59224693e-09 1.04807961e+02]
71,72,317.0,1,10.0,[-1.48283483e-09 -1.59678216e-09  4.88399914e+05]
72,73,340.0,1,10.0,[-1.82671709e-10  3.92147830e-10 -3.60981087e+04]
73,74,392.0,1,10.0,[ 1.63777260e-09 -1.17140926e-09 -7.56611368e+07]
74,75,313.0,1,10.0,[-3.24116985e-09 -5.63356849e-10  1.76059540e+06]
75,76,331.0,1,10.0,[-1.87153511e-09 -1.12074466e-09 -3.09564436e+05]
76,77,472.0,1,10.0,[-8.95952600e-10 -7.86768126e-10 -2.49127956e+07]
77,78,463.0,1,10.0,[ 8.43901336e-10 -7.89357814e-10  3.06902013e+08]
