,Evalaution Turn,iterations,success,fitness,position
0,1,61,1,2.525166603265086e-09,[-4.94152812e-05 -9.12669628e-06 -3.12359677e+01]
1,2,44,1,2.8020986176843903e-09,[-2.03082319e-05 -4.88842954e-05 -1.05309702e+03]
2,3,72,1,5.565289683452757e-09,[-6.87724109e-05  2.89075282e-05  7.93309786e+02]
3,4,82,1,2.4657281838183456e-09,[ 4.83159125e-05  1.14586552e-05 -5.46773403e+01]
4,5,73,1,9.660891623801503e-09,[9.63681917e-05 1.93407147e-05 1.69796952e+03]
5,6,58,1,7.579269349539398e-09,[ 5.54688500e-05 -6.71004920e-05 -1.60061063e+00]
6,7,63,1,1.969441567402555e-09,[ 2.58578218e-05  3.60668077e-05 -1.80305248e+02]
7,8,49,1,2.8029066128634447e-09,[ 3.86986316e-05 -3.61292475e-05  2.21150143e+01]
8,9,44,1,5.4252267084146495e-09,[-6.93260949e-05  2.48821077e-05 -1.05332265e+00]
9,10,70,1,6.20046446363221e-09,[3.62817186e-06 7.86593976e-05 2.94830220e+02]
10,11,39,1,8.643740038777666e-09,[ 6.37628991e-05  6.76611613e-05 -2.77530038e+00]
11,12,63,1,9.878324685251582e-09,[-9.49295922e-05 -2.94397215e-05  6.99642269e+01]
12,13,51,1,1.7838296564014034e-09,[ 1.33653148e-05 -4.00649225e-05  8.91503707e+03]
13,14,65,1,8.486106407494235e-09,[-7.05334855e-05  5.92548211e-05 -5.55719550e+01]
14,15,79,1,2.9939365728605704e-09,[-4.87077912e-05  2.49296540e-05  1.28243248e+01]
15,16,82,1,9.146352163292177e-09,[ 2.85350162e-05 -9.12803649e-05 -1.58033873e+02]
16,17,63,1,9.932002389240658e-09,[-5.33202162e-05  8.41959437e-05  2.28124823e+01]
17,18,51,1,5.924003810096314e-09,[ 6.82144106e-05 -3.56482538e-05 -1.41848711e+01]
18,19,55,1,5.225314887814536e-10,[-1.64636126e-05 -1.58581508e-05 -1.71200665e+01]
19,20,63,1,1.2556865626545396e-09,[-3.51020704e-05 -4.85089873e-06  6.95986712e+01]
20,21,57,1,1.353029764103796e-09,[-3.59245626e-05 -7.90288351e-06  6.54379009e+02]
