,Evalaution Turn,iterations,success,fitness,position
0,1,68,1,6.41688255968255e-09,[-3.29715729e-05  7.30051912e-05 -8.07601155e+00]
1,2,90,1,4.295122753549522e-09,[ 5.93359138e-05  2.78275418e-05 -4.43686502e+02]
2,3,68,1,6.6086393315150964e-09,[ 6.58282765e-05  4.76998674e-05 -8.58873938e+01]
3,4,87,1,3.6584845887551324e-09,[9.58066459e-07 6.04778199e-05 5.42410857e+02]
4,5,94,1,5.182702812854215e-09,[ 3.84409601e-05  6.08686734e-05 -2.20131217e+03]
5,6,80,1,3.135306232380196e-09,[-5.04678559e-05 -2.42549326e-05 -4.84121743e+01]
6,7,98,1,6.460831394511196e-09,[7.40352777e-05 3.12987067e-05 3.00161887e+03]
7,8,110,1,5.012847169015026e-09,[ 1.76193448e-05 -6.85740903e-05  1.70796250e+01]
8,9,92,1,8.810967640478637e-09,[-4.95301052e-05 -7.97354145e-05 -8.92352936e+01]
9,10,70,1,8.070848178898766e-09,[ 7.09089009e-05  5.51613629e-05 -3.77589352e+00]
10,11,106,1,9.575933139083595e-09,[7.45885556e-05 6.33441435e-05 2.46475457e+00]
11,12,115,1,8.687780228959488e-09,[ 6.58930842e-05 -6.59233015e-05  8.96142940e+02]
12,13,78,1,9.092470287829191e-09,[ 6.19255721e-05 -7.25099566e-05 -1.23587020e+05]
13,14,83,1,7.741163310799551e-09,[-2.30955616e-05 -8.48985179e-05  5.17834258e+02]
14,15,101,1,7.900558959267201e-11,[6.94014020e-06 5.55338128e-06 5.58609385e-01]
15,16,86,1,7.384275028519545e-09,[ 7.77918899e-05 -3.65061212e-05  1.93473267e+01]
16,17,67,1,8.495457260536592e-09,[ 5.71280734e-05  7.23314626e-05 -6.19114576e+01]
17,18,104,1,7.284616891037085e-09,[-6.70509362e-05  5.28089846e-05 -7.38990450e+03]
18,19,116,1,9.60048025055195e-09,[ 6.50322777e-05 -7.32890381e-05  5.73687902e+00]
19,20,115,1,1.6589884681893375e-09,[ 3.76774210e-05  1.54725697e-05 -2.46003452e+02]
20,21,84,1,1.586088113273885e-09,[-3.85794311e-05  9.88512069e-06  1.29795724e+02]
21,22,88,1,1.2503458273998617e-09,[ 2.85959450e-05  2.07994654e-05 -9.87637251e+00]
22,23,75,1,2.6168048771644366e-09,[-1.80538806e-05  4.78629530e-05  8.23447778e+03]
23,24,84,1,5.351168686801828e-09,[-4.33437456e-05  5.89278237e-05 -1.37973130e+01]
24,25,77,1,1.2664203161640281e-09,[ 1.02949024e-05 -3.40651626e-05 -6.78936458e+02]
25,26,68,1,2.581413491960831e-09,[ 5.07927254e-05 -1.22985313e-06 -4.48058933e+01]
26,27,91,1,4.078394639929856e-09,[ 1.60227245e-05 -6.18196323e-05 -3.67924427e+03]
27,28,74,1,6.606672177874042e-09,[6.73053511e-05 4.55704058e-05 3.84937816e+01]
28,29,87,1,9.698433049599544e-09,[ 4.64934435e-05  8.68147036e-05 -1.37147716e+02]
29,30,93,1,1.1877014316973125e-09,[-2.05561256e-06 -3.44016844e-05 -5.25629056e+02]
30,31,91,1,1.4508901666553097e-09,[-3.11375754e-05  2.19394978e-05  4.04373450e+02]
31,32,120,1,6.741274050550354e-09,[-5.86870086e-05  5.74204586e-05 -1.06791241e+01]
32,33,92,1,7.797983097666101e-09,[-7.71075213e-05  4.30396707e-05 -1.29207838e+01]
33,34,69,1,2.6685649920782067e-09,[-5.10642906e-05 -7.81045587e-06 -1.79691787e+04]
34,35,48,1,3.5345994400665258e-09,[ 2.31681041e-05 -5.47525195e-05 -2.52033680e+03]
35,36,85,1,8.7260525963457e-09,[-7.90385939e-05 -4.97890878e-05  7.39146809e+01]
36,37,110,1,8.571456930457126e-09,[-8.01452316e-05 -4.63486654e-05 -1.88675424e+00]
37,38,60,1,3.376409644648258e-09,[-4.75310788e-05  3.34246345e-05 -8.75037766e-02]
38,39,85,1,1.8566531463111392e-09,[-4.00506179e-05 -1.58934312e-05 -4.06199369e+01]
39,40,92,1,3.84079080695484e-09,[ 6.15470529e-05  7.26299464e-06 -6.07646159e-01]
40,41,113,1,5.029993038961113e-09,[-3.66556641e-05  6.07153632e-05  1.14466448e+01]
41,42,80,1,9.544475793521388e-09,[-6.04986711e-05  7.67097555e-05  1.32943037e+04]
42,43,87,1,9.094910670799159e-09,[ 9.48076798e-05 -1.03157417e-05 -1.43733448e+00]
43,44,82,1,8.641084171799148e-09,[-8.46774158e-06  9.25709540e-05 -8.17652591e+01]
