,Evalaution Turn,iterations,success,fitness,position
0,1,86,1,9.452817358777146e-09,[-3.76578077e-05  8.96365265e-05 -7.97670256e+01]
1,2,106,1,3.0672760810141057e-09,[ 2.41139660e-05 -4.98577248e-05  2.76570061e+01]
2,3,76,1,7.623091961612698e-09,[-6.33168789e-06 -8.70804323e-05  1.82239382e+01]
3,4,73,1,7.1703769908280345e-09,[ 7.97701849e-05 -2.84094104e-05 -2.58012589e+02]
4,5,110,1,9.591077207333836e-09,[7.88486311e-06 9.76161162e-05 9.22394825e+03]
5,6,88,1,6.671299390867456e-09,[-2.23794906e-06  8.16473574e-05  4.18510794e+01]
6,7,108,1,8.955886732373015e-09,[-8.83776831e-05  3.38418654e-05 -6.56952079e+04]
7,8,103,1,9.46806109326614e-09,[ 4.11331837e-05  8.81823242e-05 -1.48224570e+03]
8,9,59,1,3.6378844787348425e-09,[-5.96620083e-05 -8.85038094e-06 -3.87432566e+01]
9,10,89,1,2.313671270252568e-09,[-3.48318167e-05  3.31725159e-05  3.51224135e+02]
10,11,95,1,5.866839263884397e-09,[6.96771741e-05 3.18108579e-05 1.37479472e+04]
11,12,124,1,3.855036380520235e-09,[-6.20819686e-05 -9.30349834e-07 -1.45260049e+02]
12,13,60,1,9.216321102745411e-10,[-5.55040474e-06  2.98466936e-05  1.74483955e+02]
13,14,114,1,7.909713174122698e-10,[-1.82388013e-05 -2.14083499e-05 -4.11542095e+01]
14,15,98,1,7.059716403746913e-09,[8.40059812e-05 1.64667274e-06 2.75531881e+05]
15,16,69,1,4.960840928946264e-09,[-5.65070083e-05 -4.20452012e-05 -2.96233392e+02]
16,17,96,1,5.555299414253442e-09,[ 6.39387719e-05 -3.83031704e-05 -7.88596231e+01]
17,18,75,1,1.5812869589649718e-09,[ 2.46840490e-05 -3.11766689e-05 -7.15747721e+02]
18,19,112,1,1.6553396884076615e-09,[ 1.99677955e-05  3.54489327e-05 -2.42303622e+05]
19,20,84,1,3.2520812064465438e-09,[ 3.72856941e-05  4.31492552e-05 -2.50076265e+01]
20,21,60,1,5.360618585419912e-09,[-5.97236363e-05 -4.23521647e-05 -2.29174205e+01]
21,22,74,1,5.247635459694374e-09,[-4.78591206e-05 -5.43795921e-05 -1.15188310e+02]
22,23,90,1,3.972798723623555e-10,[1.78334248e-05 8.90218123e-06 1.10376476e+04]
23,24,110,1,1.4640221846008566e-09,[-2.98913205e-05  2.38857937e-05  7.97146763e+01]
24,25,121,1,3.791971000246881e-09,[-3.60532526e-05  4.99212778e-05 -2.51083358e+00]
25,26,80,1,7.219863175819983e-09,[ 8.44986553e-05  8.93534715e-06 -1.08345434e+01]
26,27,83,1,1.3288657850422498e-09,[-2.86559854e-05 -2.25322055e-05 -4.14291720e+02]
27,28,116,1,8.096187752498886e-10,[-7.47657389e-06 -2.74539545e-05  1.97538374e+03]
28,29,108,1,3.2181412903254616e-09,[-3.29820869e-05 -4.61554248e-05  1.00372780e+03]
29,30,63,1,2.7390075366236467e-09,[-4.09231654e-05 -3.26236428e-05 -1.38132959e+03]
30,31,73,1,6.14214213821164e-09,[ 7.70588186e-05  1.42856786e-05 -5.44848609e+00]
31,32,97,1,6.4035910234682564e-09,[-7.79633549e-05  1.80362500e-05  7.87594652e+02]
32,33,86,1,2.410065472444381e-09,[-3.11709362e-06 -4.89933587e-05  2.86806303e+02]
33,34,69,1,3.45772536942766e-09,[5.87871697e-05 1.33941933e-06 1.11647023e+00]
34,35,97,1,5.144159073044216e-09,[-1.76328791e-05 -6.95215121e-05  2.34894821e+04]
35,36,71,1,8.551397419455792e-09,[-7.60909330e-05 -5.25506169e-05 -5.42428301e+02]
36,37,91,1,7.0754512875673526e-09,[ 5.87214918e-05  6.02265530e-05 -1.76536104e+00]
37,38,80,1,9.706250565460671e-09,[ 9.37785592e-05 -3.01965626e-05 -8.33193123e+00]
38,39,93,1,1.3873393210227854e-09,[-3.36764071e-06  3.70944513e-05 -8.56950003e+02]
39,40,67,1,7.1772443634646786e-09,[ 5.23714667e-05 -6.65918451e-05 -1.09624838e+04]
40,41,84,1,3.168766937479821e-09,[-3.90560971e-05 -4.05387249e-05 -6.16005868e+02]
41,42,80,1,3.2545879914956087e-09,[-5.70403778e-05 -9.91612316e-07  2.57017389e+02]
42,43,98,1,7.248876937404217e-09,[ 8.44590049e-05 -1.07495781e-05 -1.02918144e+01]
43,44,83,1,4.7865501205872655e-09,[-3.48452160e-05 -5.97692316e-05 -1.42293028e+03]
44,45,89,1,6.368986440592029e-09,[7.95915099e-05 5.84619435e-06 1.40607022e+02]
45,46,112,1,2.77126940101905e-09,[ 1.49445112e-05 -5.04770342e-05 -1.12556824e+03]
46,47,98,1,3.6702923522386924e-09,[ 1.24657521e-05 -5.92865700e-05 -3.81698020e+01]
47,48,90,1,6.968534683726328e-09,[-2.46269798e-05  7.97624382e-05 -4.27904708e+00]
48,49,67,1,6.700988710194308e-09,[-2.85571516e-05 -7.67168678e-05  2.40523279e+02]
49,50,87,1,3.992819966302659e-10,[-1.76318936e-05 -9.40203830e-06 -1.24344535e+03]
50,51,89,1,5.680458312883432e-09,[-7.34925817e-05  1.67122335e-05 -5.73971779e+02]
51,52,83,1,3.398120947747342e-09,[ 3.22617368e-05  4.85520472e-05 -6.52827493e+01]
52,53,51,1,1.618268177846249e-09,[-2.59483634e-05  3.07400490e-05  1.87057294e+00]
53,54,81,1,6.883910461872478e-09,[5.79552289e-05 5.93725686e-05 1.35779214e+01]
54,55,77,1,4.307922993911009e-10,[ 1.20088489e-05 -1.69286694e-05  4.52630669e+02]
55,56,85,1,9.828184039815819e-09,[-7.70610117e-05 -6.23681370e-05  6.22229023e+00]
56,57,88,1,2.4138198486255035e-09,[-3.44850368e-05  3.49943151e-05 -1.83636630e+06]
57,58,83,1,4.536416930692874e-09,[-5.55298992e-05 -3.81162331e-05 -1.71342444e+01]
58,59,81,1,5.71492639323759e-09,[-7.47416956e-05 -1.13404289e-05  1.20041438e+03]
59,60,84,1,9.840473534021207e-09,[ 3.79438009e-05 -9.16555591e-05 -3.18458903e+05]
60,61,65,1,7.24005627104513e-09,[4.97503618e-05 6.90286735e-05 2.19534288e+03]
61,62,84,1,6.573251447534957e-09,[ 2.94345839e-05 -7.55437404e-05  1.71608418e+02]
62,63,114,1,9.131084980543274e-09,[-7.44663400e-05 -5.98819605e-05 -1.04962325e+04]
